InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Description
C536758,21314,-1,2010-12-02 14:25,2.1,13767,UNITED KINGDOM,SMALL GLASS HEART TRINKET POT
C536760,22175,-1,2010-12-02 14:29,2.95,17547,UNITED KINGDOM,PINK OWL SOFT TOY
C536760,22273,-3,2010-12-02 14:29,2.95,17547,UNITED KINGDOM,FELTCRAFT DOLL MOLLY
C536807,22501,-2,2010-12-02 16:45,9.95,15834,UNITED KINGDOM,PICNIC BASKET WICKER LARGE
C536807,22778,-1,2010-12-02 16:45,3.95,15834,UNITED KINGDOM,GLASS BELL JAR SMALL
C536812,22578,-36,2010-12-02 16:58,0.29,16546,UNITED KINGDOM,WOODEN STAR CHRISTMAS SCANDINAVIAN
C536812,22574,-192,2010-12-02 16:58,0.85,16546,UNITED KINGDOM,HEART WOODEN CHRISTMAS DECORATION
C536812,22593,-144,2010-12-02 16:58,0.85,16546,UNITED KINGDOM,CHRISTMAS GINGHAM STAR
C536812,22595,-144,2010-12-02 16:58,0.85,16546,UNITED KINGDOM,CHRISTMAS GINGHAM HEART
C536812,22588,-192,2010-12-02 16:58,2.89,16546,UNITED KINGDOM,CARD HOLDER GINGHAM HEART
C536812,22130,-144,2010-12-02 16:58,0.85,16546,UNITED KINGDOM,PARTY CONE CHRISTMAS DECORATION
C536814,21527,-2,2010-12-02 17:03,7.95,13958,UNITED KINGDOM,RED RETROSPOT TRADITIONAL TEAPOT
C536814,72799E,-6,2010-12-02 17:03,2.95,13958,UNITED KINGDOM,IVORY PILLAR CANDLE SILVER FLOCK
C536814,85066,-2,2010-12-02 17:03,12.75,13958,UNITED KINGDOM,CREAM SWEETHEART MINI CHEST
C536814,21586,-12,2010-12-02 17:03,2.55,13958,UNITED KINGDOM,KINGS CHOICE GIANT TUBE MATCHES
C536814,21258,-1,2010-12-02 17:03,12.75,13958,UNITED KINGDOM,VICTORIAN SEWING BOX LARGE
C536815,85175,-1,2010-12-02 17:05,0.42,14443,UNITED KINGDOM,CACTI T-LIGHT CANDLES
C536815,22178,-1,2010-12-02 17:05,1.25,14443,UNITED KINGDOM,VICTORIAN GLASS HANGING T-LIGHT
C536816,21129,-2,2010-12-02 17:06,6.95,14443,UNITED KINGDOM,SILVER FISHING GNOME
C536817,22187,-1,2010-12-02 17:08,1.95,14156,IRELAND,GREEN CHRISTMAS TREE CARD HOLDER
C536817,71477,-1,2010-12-02 17:08,3.25,14156,IRELAND,COLOUR GLASS STAR T-LIGHT HOLDER
C536818,84947,-1,2010-12-02 17:09,1.25,16995,UNITED KINGDOM,ANTIQUE SILVER TEA GLASS ENGRAVED
C536820,22877,-1,2010-12-02 17:14,1.95,18168,UNITED KINGDOM,NUMBER TILE COTTAGE GARDEN 9
C536820,22869,-1,2010-12-02 17:14,1.95,18168,UNITED KINGDOM,NUMBER TILE COTTAGE GARDEN 1
C536820,22878,-1,2010-12-02 17:14,2.1,18168,UNITED KINGDOM,NUMBER TILE COTTAGE GARDEN NO
C536820,21843,-1,2010-12-02 17:14,10.95,18168,UNITED KINGDOM,RED RETROSPOT CAKE STAND
C536822,22847,-2,2010-12-02 17:19,16.95,14625,UNITED KINGDOM,BREAD BIN DINER STYLE IVORY
C536822,21430,-1,2010-12-02 17:19,3.75,14625,UNITED KINGDOM,SET/3 RED GINGHAM ROSE STORAGE BOX
C536825,22617,-1,2010-12-02 17:27,4.95,15384,UNITED KINGDOM,BAKING SET SPACEBOY DESIGN
C536825,22197,-2,2010-12-02 17:27,0.85,15384,UNITED KINGDOM,POPCORN HOLDER
C536826,35004B,-2,2010-12-02 17:30,4.65,17924,UNITED KINGDOM,SET OF 3 BLACK FLYING DUCKS
C536826,35004B,-3,2010-12-02 17:30,4.65,17924,UNITED KINGDOM,SET OF 3 BLACK FLYING DUCKS
C536827,21527,-3,2010-12-02 17:31,7.95,13408,UNITED KINGDOM,RED RETROSPOT TRADITIONAL TEAPOT
C536828,22832,-1,2010-12-02 17:35,10.75,14264,UNITED KINGDOM,BROCANTE SHELF WITH HOOKS
C536828,84946,-3,2010-12-02 17:35,1.25,14264,UNITED KINGDOM,ANTIQUE SILVER T-LIGHT GLASS
C536829,71477,-1,2010-12-02 17:36,3.25,13295,UNITED KINGDOM,COLOUR GLASS STAR T-LIGHT HOLDER
C536850,22942,-48,2010-12-03 09:47,8.5,14213,UNITED KINGDOM,CHRISTMAS LIGHTS 10 SANTAS
C536850,22689,-50,2010-12-03 09:47,8.25,14213,UNITED KINGDOM,DOORMAT MERRY CHRISTMAS RED
C536850,22591,-50,2010-12-03 09:47,3.25,14213,UNITED KINGDOM,CARDHOLDER GINGHAM CHRISTMAS TREE
C536850,22580,-48,2010-12-03 09:47,5.95,14213,UNITED KINGDOM,ADVENT CALENDAR GINGHAM SACK
C536850,22186,-48,2010-12-03 09:47,1.95,14213,UNITED KINGDOM,RED STAR CARD HOLDER
C536853,84678,-1,2010-12-03 10:07,2.55,14679,UNITED KINGDOM,CLASSICAL ROSE SMALL VASE
C536854,22158,-1,2010-12-03 10:09,2.95,15240,UNITED KINGDOM,3 HEARTS HANGING DECORATION RUSTIC
C536854,22944,-1,2010-12-03 10:09,0.39,15240,UNITED KINGDOM,CHRISTMAS METAL POSTCARD WITH BELLS
C536854,21871,-1,2010-12-03 10:09,1.25,15240,UNITED KINGDOM,SAVE THE PLANET MUG
C536855,21527,-4,2010-12-03 10:11,7.95,18225,UNITED KINGDOM,RED RETROSPOT TRADITIONAL TEAPOT
C536978,22776,-1,2010-12-03 14:19,9.95,17954,UNITED KINGDOM,"CAKESTAND, 3 TIER, LOVEHEART"
C536979,84685,-1,2010-12-03 14:23,3.75,17841,UNITED KINGDOM,BEACH HUT KEY CABINET
C536979,22630,-1,2010-12-03 14:23,1.95,17841,UNITED KINGDOM,DOLLY GIRL LUNCH BOX
C537024,20893,-36,2010-12-03 16:21,2.55,13941,UNITED KINGDOM,HANGING BAUBLE T-LIGHT HOLDER SMALL
C537039,22854,-1,2010-12-05 10:25,4.95,15708,UNITED KINGDOM,CREAM SWEETHEART EGG HOLDER
C537039,20936,-1,2010-12-05 10:25,2.95,15708,UNITED KINGDOM,FORKED CACTUS CANDLE
C537039,85175,-1,2010-12-05 10:25,0.42,15708,UNITED KINGDOM,CACTI T-LIGHT CANDLES
C537043,22575,-6,2010-12-05 10:48,1.95,15351,UNITED KINGDOM,METAL MERRY CHRISTMAS WREATH
C537043,11001,-1,2010-12-05 10:48,1.69,15351,UNITED KINGDOM,ASSTD DESIGN RACING CAR PEN
C537132,22788,-2,2010-12-05 12:29,9.95,15221,UNITED KINGDOM,BROCANTE COAT RACK
C537132,22184,-1,2010-12-05 12:29,8.5,15221,UNITED KINGDOM,CAKE STAND VICTORIAN FILIGREE LARGE
C537132,71279,-2,2010-12-05 12:29,2.95,15221,UNITED KINGDOM,PINK GLASS CANDLEHOLDER
C537132,22761,-2,2010-12-05 12:29,24.95,15221,UNITED KINGDOM,CHEST 7 DRAWER MA CAMPAGNE
C537132,22769,-8,2010-12-05 12:29,24.95,15221,UNITED KINGDOM,CHALKBOARD KITCHEN ORGANISER
C537132,22762,-3,2010-12-05 12:29,14.95,15221,UNITED KINGDOM,CUPBOARD 3 DRAWER MA CAMPAGNE
C537143,20685,-1,2010-12-05 12:58,7.95,12748,UNITED KINGDOM,DOORMAT RED RETROSPOT
C537157,35953,-24,2010-12-05 13:09,0.39,15880,UNITED KINGDOM,FOLKART STAR CHRISTMAS DECORATIONS
C537203,37449,-1,2010-12-05 14:44,9.95,14606,UNITED KINGDOM,CERAMIC CAKE STAND + HANGING CAKES
C537203,21424,-1,2010-12-05 14:44,2.95,14606,UNITED KINGDOM,WOODLAND STORAGE BOX LARGE
C537232,84840,-2,2010-12-06 09:31,8.5,12586,ITALY,SWEETHEART CARRY-ALL BASKET
C537234,22653,-20,2010-12-06 09:40,1.95,16161,UNITED KINGDOM,BUTTON BOX
C537314,21349,-4,2010-12-06 11:42,6.75,13497,UNITED KINGDOM,IVY HEART WREATH
C537320,35400,-1,2010-12-06 11:47,8.95,14867,UNITED KINGDOM,WOODEN BOX ADVENT CALENDAR
C537333,22636,-4,2010-12-06 12:00,8.5,12474,GERMANY,CHILDS BREAKFAST SET CIRCUS PARADE
C537373,22423,-1,2010-12-06 12:55,12.75,14487,UNITED KINGDOM,REGENCY CAKESTAND 3 TIER
C537379,22865,-10,2010-12-06 13:12,2.1,15882,UNITED KINGDOM,HAND WARMER OWL DESIGN
C537383,21658,-1,2010-12-06 13:17,3.95,16550,UNITED KINGDOM,GLASS  BEURRE DISH
C537383,22197,-1,2010-12-06 13:17,0.85,16550,UNITED KINGDOM,POPCORN HOLDER
C537383,22371,-1,2010-12-06 13:17,4.25,16550,UNITED KINGDOM,AIRLINE BAG VINTAGE TOKYO 78
C537398,22430,-1,2010-12-06 14:22,4.95,15426,UNITED KINGDOM,ENAMEL WATERING CAN CREAM
C537402,22926,-4,2010-12-06 14:43,5.95,15502,UNITED KINGDOM,IVORY GIANT GARDEN THERMOMETER
C537402,22927,-4,2010-12-06 14:43,5.95,15502,UNITED KINGDOM,GREEN GIANT GARDEN THERMOMETER
C537402,22849,-4,2010-12-06 14:43,16.95,15502,UNITED KINGDOM,BREAD BIN DINER STYLE MINT
C537402,22847,-4,2010-12-06 14:43,16.95,15502,UNITED KINGDOM,BREAD BIN DINER STYLE IVORY
C537402,47580,-6,2010-12-06 14:43,2.55,15502,UNITED KINGDOM,TEA TIME DES TEA COSY
C537402,22196,-12,2010-12-06 14:43,0.85,15502,UNITED KINGDOM,SMALL HEART MEASURING SPOONS
C537406,22926,-4,2010-12-06 14:53,5.95,15502,UNITED KINGDOM,IVORY GIANT GARDEN THERMOMETER
C537406,22927,-4,2010-12-06 14:53,5.95,15502,UNITED KINGDOM,GREEN GIANT GARDEN THERMOMETER
C537406,22847,-4,2010-12-06 14:53,16.95,15502,UNITED KINGDOM,BREAD BIN DINER STYLE IVORY
C537406,22849,-4,2010-12-06 14:53,16.95,15502,UNITED KINGDOM,BREAD BIN DINER STYLE MINT
C537408,47580,-6,2010-12-06 14:55,2.55,15502,UNITED KINGDOM,TEA TIME DES TEA COSY
C537408,22196,-12,2010-12-06 14:55,0.85,15502,UNITED KINGDOM,SMALL HEART MEASURING SPOONS
C537413,22834,-72,2010-12-06 15:07,2.1,14409,UNITED KINGDOM,HAND WARMER BABUSHKA DESIGN
C537414,22086,-6,2010-12-06 15:09,2.95,16861,UNITED KINGDOM,PAPER CHAIN KIT 50'S CHRISTMAS
C537416,22840,-1,2010-12-06 15:10,7.95,16138,UNITED KINGDOM,ROUND CAKE TIN VINTAGE RED
C537417,22960,-1,2010-12-06 15:12,4.25,13481,UNITED KINGDOM,JAM MAKING SET WITH JARS
C537431,21755,-1,2010-12-06 16:10,5.95,16782,UNITED KINGDOM,LOVE BUILDING BLOCK WORD
C537444,22580,-8,2010-12-07 08:42,5.95,14850,UNITED KINGDOM,ADVENT CALENDAR GINGHAM SACK
C537445,22418,-11,2010-12-07 08:57,0.85,15021,UNITED KINGDOM,10 COLOUR SPACEBOY PEN
C537530,21527,-1,2010-12-07 11:47,7.95,13319,UNITED KINGDOM,RED RETROSPOT TRADITIONAL TEAPOT
C537530,85047,-2,2010-12-07 11:47,6.35,13319,UNITED KINGDOM,WHITE BEADED GARLAND STRING 20LIGHT
C537530,22726,-2,2010-12-07 11:47,3.75,13319,UNITED KINGDOM,ALARM CLOCK BAKELIKE GREEN
C537596,22968,-2,2010-12-07 12:31,9.95,17954,UNITED KINGDOM,ROSE COTTAGE KEEPSAKE BOX
C537602,85099B,-1,2010-12-07 12:45,2.08,17511,UNITED KINGDOM,JUMBO BAG RED RETROSPOT
C537602,21622,-1,2010-12-07 12:45,4.95,17511,UNITED KINGDOM,VINTAGE UNION JACK CUSHION COVER
C537602,22065,-1,2010-12-07 12:45,0.39,17511,UNITED KINGDOM,CHRISTMAS PUDDING TRINKET POT
C537602,22061,-1,2010-12-07 12:45,9.95,17511,UNITED KINGDOM,LARGE CAKE STAND  HANGING STRAWBERY
C537602,22654,-1,2010-12-07 12:45,5.95,17511,UNITED KINGDOM,DELUXE SEWING KIT
C537602,85123A,-1,2010-12-07 12:45,2.95,17511,UNITED KINGDOM,CREAM HANGING HEART T-LIGHT HOLDER
C537602,22665,-1,2010-12-07 12:45,2.95,17511,UNITED KINGDOM,RECIPE BOX BLUE SKETCHBOOK DESIGN
C537602,22197,-1,2010-12-07 12:45,0.85,17511,UNITED KINGDOM,POPCORN HOLDER
C537602,22659,-4,2010-12-07 12:45,1.95,17511,UNITED KINGDOM,LUNCH BOX I LOVE LONDON
C537602,22169,-1,2010-12-07 12:45,8.5,17511,UNITED KINGDOM,FAMILY ALBUM WHITE PICTURE FRAME
C537602,21843,-1,2010-12-07 12:45,10.95,17511,UNITED KINGDOM,RED RETROSPOT CAKE STAND
C537602,22423,-2,2010-12-07 12:45,12.75,17511,UNITED KINGDOM,REGENCY CAKESTAND 3 TIER
C537602,84050,-1,2010-12-07 12:45,1.65,17511,UNITED KINGDOM,PINK HEART SHAPE EGG FRYING PAN
C537602,22198,-1,2010-12-07 12:45,1.65,17511,UNITED KINGDOM,LARGE POPCORN HOLDER
C537611,22865,-36,2010-12-07 13:25,2.1,17675,UNITED KINGDOM,HAND WARMER OWL DESIGN
C537656,21258,-12,2010-12-07 16:21,12.75,15100,UNITED KINGDOM,VICTORIAN SEWING BOX LARGE
C537677,21166,-1,2010-12-08 09:55,2.08,14796,UNITED KINGDOM,COOK WITH WINE METAL SIGN
C537684,22301,-1,2010-12-08 10:18,2.55,14901,UNITED KINGDOM,COFFEE MUG CAT + BIRD DESIGN
C537684,22730,-1,2010-12-08 10:18,3.75,14901,UNITED KINGDOM,ALARM CLOCK BAKELIKE IVORY
C537746,22156,-1,2010-12-08 11:03,0.85,15021,UNITED KINGDOM,HEART DECORATION WITH PEARLS
C537746,21558,-1,2010-12-08 11:03,2.55,15021,UNITED KINGDOM,SKULL LUNCH BOX WITH CUTLERY
C537746,71477,-1,2010-12-08 11:03,3.25,15021,UNITED KINGDOM,COLOUR GLASS STAR T-LIGHT HOLDER
C537756,21914,-24,2010-12-08 11:33,1.25,14952,UNITED KINGDOM,BLUE HARMONICA IN BOX
C537756,84949,-8,2010-12-08 11:33,1.65,14952,UNITED KINGDOM,SILVER HANGING T-LIGHT HOLDER
C537756,21275,-4,2010-12-08 11:33,16.95,14952,UNITED KINGDOM,ZINC TOP  2 DOOR WOODEN SHELF
C537763,85068,-1,2010-12-08 12:03,7.95,16713,UNITED KINGDOM,CREAM SWEETHEART SHELF + HOOKS
C537788,90062,-1,2010-12-08 12:49,12.75,15916,UNITED KINGDOM,CARNIVAL BRACELET
C537788,16202E,-1,2010-12-08 12:49,0.5,15916,UNITED KINGDOM,BLACK PHOTO ALBUM
C537797,22501,-1,2010-12-08 13:07,9.95,13113,UNITED KINGDOM,PICNIC BASKET WICKER LARGE
C537797,22423,-2,2010-12-08 13:07,12.75,13113,UNITED KINGDOM,REGENCY CAKESTAND 3 TIER
C537797,22469,-1,2010-12-08 13:07,1.65,13113,UNITED KINGDOM,HEART OF WICKER SMALL
C537798,22357,-1,2010-12-08 13:07,4.25,16553,UNITED KINGDOM,KINGS CHOICE BISCUIT TIN
C537805,35004C,-1,2010-12-08 13:18,5.45,15311,UNITED KINGDOM,SET OF 3 COLOURED  FLYING DUCKS
C537805,40001,-2,2010-12-08 13:18,0.85,15311,UNITED KINGDOM,WHITE BAMBOO RIBS LAMPSHADE
C537805,85047,-1,2010-12-08 13:18,6.35,15311,UNITED KINGDOM,WHITE BEADED GARLAND STRING 20LIGHT
C537805,22719,-3,2010-12-08 13:18,1.25,15311,UNITED KINGDOM,GUMBALL MONOCHROME COAT RACK
C537805,20798,-4,2010-12-08 13:18,2.1,15311,UNITED KINGDOM,CLEAR MILKSHAKE GLASS
C537805,22198,-1,2010-12-08 13:18,1.65,15311,UNITED KINGDOM,LARGE POPCORN HOLDER
C537805,22197,-1,2010-12-08 13:18,0.85,15311,UNITED KINGDOM,POPCORN HOLDER
C537805,20829,-1,2010-12-08 13:18,2.1,15311,UNITED KINGDOM,GLITTER HANGING BUTTERFLY STRING
C537805,22571,-1,2010-12-08 13:18,0.85,15311,UNITED KINGDOM,ROCKING HORSE RED CHRISTMAS
C537807,84949,-5,2010-12-08 13:23,1.65,13495,UNITED KINGDOM,SILVER HANGING T-LIGHT HOLDER
C537807,21730,-3,2010-12-08 13:23,4.95,13495,UNITED KINGDOM,GLASS STAR FROSTED T-LIGHT HOLDER
C537807,21143,-1,2010-12-08 13:23,1.95,13495,UNITED KINGDOM,ANTIQUE GLASS HEART DECORATION
C537807,21812,-6,2010-12-08 13:23,4.95,13495,UNITED KINGDOM,GARLAND WITH HEARTS AND BELLS
C537812,21843,-10,2010-12-08 13:33,10.95,14299,UNITED KINGDOM,RED RETROSPOT CAKE STAND
C537812,22423,-10,2010-12-08 13:33,12.75,14299,UNITED KINGDOM,REGENCY CAKESTAND 3 TIER
C537814,20703,-3,2010-12-08 13:43,4.25,12712,GERMANY,BLUE PADDED SOFT MOBILE
C537820,22627,-1,2010-12-08 14:10,8.5,16016,UNITED KINGDOM,MINT KITCHEN SCALES
C537821,85048,-3,2010-12-08 14:20,7.95,18193,UNITED KINGDOM,15CM CHRISTMAS GLASS BALL 20 LIGHTS
C537824,22220,-1,2010-12-08 14:27,9.95,12870,UNITED KINGDOM,CAKE STAND LOVEBIRD 2 TIER WHITE
C537824,22784,-1,2010-12-08 14:27,4.95,12870,UNITED KINGDOM,LANTERN CREAM GAZEBO
C537832,22073,-2,2010-12-08 14:52,3.75,16858,UNITED KINGDOM,RED RETROSPOT STORAGE JAR
C537832,21531,-4,2010-12-08 14:52,2.55,16858,UNITED KINGDOM,RED RETROSPOT SUGAR JAM BOWL
C537832,21527,-2,2010-12-08 14:52,7.95,16858,UNITED KINGDOM,RED RETROSPOT TRADITIONAL TEAPOT
C537834,22697,-1,2010-12-08 14:54,2.95,13267,UNITED KINGDOM,GREEN REGENCY TEACUP AND SAUCER
C537834,21314,-1,2010-12-08 14:54,2.1,13267,UNITED KINGDOM,SMALL GLASS HEART TRINKET POT
C537834,22798,-3,2010-12-08 14:54,2.95,13267,UNITED KINGDOM,ANTIQUE GLASS DRESSING TABLE POT
C537835,22138,-3,2010-12-08 14:57,4.95,14618,UNITED KINGDOM,BAKING SET 9 PIECE RETROSPOT
C537838,22299,-4,2010-12-08 15:01,1.25,13115,UNITED KINGDOM,PIG KEYRING WITH LIGHT & SOUND
C537853,79000,-1,2010-12-08 15:57,0.85,13370,UNITED KINGDOM,MOROCCAN TEA GLASS
C537853,22940,-1,2010-12-08 15:57,4.25,13370,UNITED KINGDOM,FELTCRAFT CHRISTMAS FAIRY
C537853,22169,-2,2010-12-08 15:57,8.5,13370,UNITED KINGDOM,FAMILY ALBUM WHITE PICTURE FRAME
C537853,22697,-1,2010-12-08 15:57,2.95,13370,UNITED KINGDOM,GREEN REGENCY TEACUP AND SAUCER
C537853,22960,-2,2010-12-08 15:57,4.25,13370,UNITED KINGDOM,JAM MAKING SET WITH JARS
C537856,37370,-2,2010-12-08 15:59,1.25,14388,UNITED KINGDOM,RETRO COFFEE MUGS ASSORTED
C537856,21843,-1,2010-12-08 15:59,10.95,14388,UNITED KINGDOM,RED RETROSPOT CAKE STAND
C537860,84406B,-8,2010-12-08 16:15,4.15,16252,UNITED KINGDOM,CREAM CUPID HEARTS COAT HANGER
C537860,22295,-12,2010-12-08 16:15,1.65,16252,UNITED KINGDOM,HEART FILIGREE DOVE LARGE
C537860,22193,-2,2010-12-08 16:15,8.5,16252,UNITED KINGDOM,RED DINER WALL CLOCK
C537860,22180,-1,2010-12-08 16:15,9.95,16252,UNITED KINGDOM,RETROSPOT LAMP
C537860,21624,-3,2010-12-08 16:15,5.95,16252,UNITED KINGDOM,VINTAGE UNION JACK DOORSTOP
C537860,21485,-3,2010-12-08 16:15,4.95,16252,UNITED KINGDOM,RETROSPOT HEART HOT WATER BOTTLE
C537860,20897,-6,2010-12-08 16:15,2.95,16252,UNITED KINGDOM,VINTAGE NOTEBOOK PARIS DAYS
C537860,37370,-12,2010-12-08 16:15,1.25,16252,UNITED KINGDOM,RETRO COFFEE MUGS ASSORTED
C537860,22049,-25,2010-12-08 16:15,0.19,16252,UNITED KINGDOM,WRAP CHRISTMAS SCREEN PRINT
C537860,21888,-4,2010-12-08 16:15,3.75,16252,UNITED KINGDOM,BINGO SET
C537860,21240,-8,2010-12-08 16:15,0.85,16252,UNITED KINGDOM,BLUE POLKADOT CUP
C537860,21066,-12,2010-12-08 16:15,1.25,16252,UNITED KINGDOM,VINTAGE RED MUG
C537860,20675,-8,2010-12-08 16:15,1.25,16252,UNITED KINGDOM,BLUE POLKADOT BOWL
C537860,22192,-2,2010-12-08 16:15,8.5,16252,UNITED KINGDOM,BLUE DINER WALL CLOCK
C537860,21244,-8,2010-12-08 16:15,1.69,16252,UNITED KINGDOM,BLUE POLKADOT PLATE
C537860,21242,-8,2010-12-08 16:15,1.69,16252,UNITED KINGDOM,RED RETROSPOT PLATE
C537860,20676,-8,2010-12-08 16:15,1.25,16252,UNITED KINGDOM,RED RETROSPOT BOWL
C537860,79066K,-10,2010-12-08 16:15,0.85,16252,UNITED KINGDOM,RETRO MOD TRAY
C537860,22637,-6,2010-12-08 16:15,2.55,16252,UNITED KINGDOM,PIGGY BANK RETROSPOT
C537860,22508,-4,2010-12-08 16:15,3.75,16252,UNITED KINGDOM,DOORSTOP RETROSPOT HEART
C537860,21238,-8,2010-12-08 16:15,0.85,16252,UNITED KINGDOM,RED RETROSPOT CUP
C537893,22450,-1,2010-12-09 10:14,3.35,12721,FRANCE,SILK PURSE BABUSHKA BLUE
C537893,22634,-2,2010-12-09 10:14,9.95,12721,FRANCE,CHILDS BREAKFAST SET SPACEBOY
C537893,22630,-2,2010-12-09 10:14,1.95,12721,FRANCE,DOLLY GIRL LUNCH BOX
C537998,22727,-4,2010-12-09 11:42,3.75,17411,UNITED KINGDOM,ALARM CLOCK BAKELIKE RED
C537998,22725,-4,2010-12-09 11:42,3.75,17411,UNITED KINGDOM,ALARM CLOCK BAKELIKE CHOCOLATE
C538052,22138,-1,2010-12-09 13:28,4.95,15181,UNITED KINGDOM,BAKING SET 9 PIECE RETROSPOT
C538059,84380,-12,2010-12-09 13:38,1.25,14205,UNITED KINGDOM,SET OF 3 BUTTERFLY COOKIE CUTTERS
C538059,21535,-6,2010-12-09 13:38,2.55,14205,UNITED KINGDOM,RED RETROSPOT SMALL MILK JUG
C538059,20914,-6,2010-12-09 13:38,2.95,14205,UNITED KINGDOM,SET/5 RED RETROSPOT LID GLASS BOWLS
C538059,84378,-12,2010-12-09 13:38,1.25,14205,UNITED KINGDOM,SET OF 3 HEART COOKIE CUTTERS
C538059,48188,-2,2010-12-09 13:38,7.95,14205,UNITED KINGDOM,DOORMAT WELCOME PUPPIES
C538059,22697,-6,2010-12-09 13:38,2.95,14205,UNITED KINGDOM,GREEN REGENCY TEACUP AND SAUCER
C538059,48187,-2,2010-12-09 13:38,7.95,14205,UNITED KINGDOM,DOORMAT NEW ENGLAND
C538059,22727,-4,2010-12-09 13:38,3.75,14205,UNITED KINGDOM,ALARM CLOCK BAKELIKE RED
C538059,22699,-6,2010-12-09 13:38,2.95,14205,UNITED KINGDOM,ROSES REGENCY TEACUP AND SAUCER
C538059,22698,-6,2010-12-09 13:38,2.95,14205,UNITED KINGDOM,PINK REGENCY TEACUP AND SAUCER
C538059,21975,-24,2010-12-09 13:38,0.55,14205,UNITED KINGDOM,PACK OF 60 DINOSAUR CAKE CASES
C538059,21533,-3,2010-12-09 13:38,4.95,14205,UNITED KINGDOM,RETROSPOT LARGE MILK JUG
